time,v(Vout),v(V1)
5.275E-08,0.502310824,0.51
5.285E-08,0.502313658,0.51
5.295E-08,0.502316492,0.51
5.305E-08,0.502319326,0.51
5.315E-08,0.50232216,0.51
5.325E-08,0.502324994,0.51
5.335E-08,0.502327827,0.51
5.345E-08,0.502330661,0.51
5.355E-08,0.502333495,0.51
5.365E-08,0.502336328,0.51
5.375E-08,0.502339162,0.51
5.385E-08,0.502341995,0.51
5.395E-08,0.502344828,0.51
5.405E-08,0.502347661,0.51
5.415E-08,0.502350493,0.51
5.425E-08,0.502353326,0.51
5.435E-08,0.502356158,0.51
5.445E-08,0.50235899,0.51
5.455E-08,0.502361822,0.51
5.465E-08,0.502364653,0.51
5.475E-08,0.502367484,0.51
5.485E-08,0.502370315,0.51
5.495E-08,0.502373146,0.51
5.505E-08,0.502375976,0.51
5.515E-08,0.502378806,0.51
5.525E-08,0.502381636,0.51
5.535E-08,0.502384465,0.51
5.545E-08,0.502387294,0.51
5.555E-08,0.502390122,0.51
5.565E-08,0.50239295,0.51
5.575E-08,0.502395778,0.51
5.585E-08,0.502398605,0.51
5.595E-08,0.502401432,0.51
5.605E-08,0.502404259,0.51
5.615E-08,0.502407085,0.51
5.625E-08,0.50240991,0.51
5.635E-08,0.502412736,0.51
5.645E-08,0.50241556,0.51
5.655E-08,0.502418384,0.51
5.665E-08,0.502421208,0.51
5.675E-08,0.502424031,0.51
5.685E-08,0.502426854,0.51
5.695E-08,0.502429676,0.51
5.705E-08,0.502432498,0.51
5.715E-08,0.502435319,0.51
5.725E-08,0.502438139,0.51
5.735E-08,0.502440959,0.51
5.745E-08,0.502443779,0.51
5.755E-08,0.502446598,0.51
5.765E-08,0.502449416,0.51
5.775E-08,0.502452234,0.51
5.785E-08,0.502455051,0.51
5.795E-08,0.502457867,0.51
5.805E-08,0.502460683,0.51
5.815E-08,0.502463498,0.51
5.825E-08,0.502466313,0.51
5.835E-08,0.502469127,0.51
5.845E-08,0.50247194,0.51
5.855E-08,0.502474753,0.51
5.865E-08,0.502477565,0.51
5.875E-08,0.502480377,0.51
5.885E-08,0.502483187,0.51
5.895E-08,0.502485997,0.51
5.905E-08,0.502488807,0.51
5.915E-08,0.502491616,0.51
5.925E-08,0.502494424,0.51
5.935E-08,0.502497231,0.51
5.945E-08,0.502500037,0.51
5.955E-08,0.502502843,0.51
5.965E-08,0.502505648,0.51
5.975E-08,0.502508453,0.51
5.985E-08,0.502511257,0.51
5.995E-08,0.50251406,0.51
6.005E-08,0.502516862,0.51
6.015E-08,0.502519663,0.51
6.025E-08,0.502522464,0.51
6.035E-08,0.502525264,0.51
6.045E-08,0.502528063,0.51
