 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 1.74000000e+00  4.65345767e-08  0.00000000e+00  1.74000000e+00  0.00000000e+00 
 1.75000000e+00  6.16874421e-08  0.00000000e+00  1.75000000e+00  0.00000000e+00 
 1.76000000e+00  8.15207433e-08  0.00000000e+00  1.76000000e+00  0.00000000e+00 
 1.77000000e+00  1.07237118e-07  0.00000000e+00  1.77000000e+00  0.00000000e+00 
 1.78000000e+00  1.40285057e-07  0.00000000e+00  1.78000000e+00  0.00000000e+00 
 1.79000000e+00  1.82403823e-07  0.00000000e+00  1.79000000e+00  0.00000000e+00 
 1.80000000e+00  2.35680228e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00 
 0.00000000e+00  4.50000002e-01  0.00000000e+00  0.00000000e+00  4.50000000e-01 
 1.00000000e-02  4.50000002e-01  0.00000000e+00  1.00000000e-02  4.50000000e-01 
 2.00000000e-02  4.50000002e-01  0.00000000e+00  2.00000000e-02  4.50000000e-01 
 3.00000000e-02  4.50000002e-01  0.00000000e+00  3.00000000e-02  4.50000000e-01 
 4.00000000e-02  4.50000002e-01  0.00000000e+00  4.00000000e-02  4.50000000e-01 
 5.00000000e-02  4.50000002e-01  0.00000000e+00  5.00000000e-02  4.50000000e-01 
 6.00000000e-02  4.50000002e-01  0.00000000e+00  6.00000000e-02  4.50000000e-01 
 7.00000000e-02  4.50000002e-01  0.00000000e+00  7.00000000e-02  4.50000000e-01 
 8.00000000e-02  4.50000002e-01  0.00000000e+00  8.00000000e-02  4.50000000e-01 
 9.00000000e-02  4.50000002e-01  0.00000000e+00  9.00000000e-02  4.50000000e-01 
 1.00000000e-01  4.50000002e-01  0.00000000e+00  1.00000000e-01  4.50000000e-01 
 1.10000000e-01  4.50000002e-01  0.00000000e+00  1.10000000e-01  4.50000000e-01 
 1.20000000e-01  4.50000002e-01  0.00000000e+00  1.20000000e-01  4.50000000e-01 
 1.30000000e-01  4.50000002e-01  0.00000000e+00  1.30000000e-01  4.50000000e-01 
 1.40000000e-01  4.50000002e-01  0.00000000e+00  1.40000000e-01  4.50000000e-01 
 1.50000000e-01  4.50000002e-01  0.00000000e+00  1.50000000e-01  4.50000000e-01 
 1.60000000e-01  4.50000002e-01  0.00000000e+00  1.60000000e-01  4.50000000e-01 
 1.70000000e-01  4.50000002e-01  0.00000000e+00  1.70000000e-01  4.50000000e-01 
 1.80000000e-01  4.50000002e-01  0.00000000e+00  1.80000000e-01  4.50000000e-01 
 1.90000000e-01  4.50000002e-01  0.00000000e+00  1.90000000e-01  4.50000000e-01 
 2.00000000e-01  4.50000002e-01  0.00000000e+00  2.00000000e-01  4.50000000e-01 
 2.10000000e-01  4.50000002e-01  0.00000000e+00  2.10000000e-01  4.50000000e-01 
 2.20000000e-01  4.50000002e-01  0.00000000e+00  2.20000000e-01  4.50000000e-01 
 2.30000000e-01  4.50000002e-01  0.00000000e+00  2.30000000e-01  4.50000000e-01 
